key,values
"(0.7, 0.6, 0.2, 0.2, 0.2)",2.7329829393990193
"(0.7, 0.6, 0.2, 0.2, 0.3)",2.848204086436439
"(0.7, 0.6, 0.2, 0.2, 0.4)",2.762406389921474
"(0.7, 0.6, 0.2, 0.2, 0.5)",2.7934620732185533
"(0.7, 0.6, 0.2, 0.3, 0.2)",2.7335451614375885
"(0.7, 0.6, 0.2, 0.3, 0.3)",2.6293209477344295
"(0.7, 0.6, 0.2, 0.3, 0.4)",2.787012982132262
"(0.7, 0.6, 0.2, 0.4, 0.2)",2.735239991465644
"(0.7, 0.6, 0.2, 0.4, 0.3)",2.697367405794679
"(0.7, 0.6, 0.2, 0.5, 0.2)",2.769085260550742
"(0.7, 0.6, 0.3, 0.2, 0.2)",2.5837986527819385
"(0.7, 0.6, 0.3, 0.2, 0.3)",2.7824522663322235
"(0.7, 0.6, 0.3, 0.2, 0.4)",2.484228932867708
"(0.7, 0.6, 0.3, 0.3, 0.2)",2.667440440764178
"(0.7, 0.6, 0.3, 0.3, 0.3)",2.745028340151978
"(0.7, 0.6, 0.3, 0.4, 0.2)",2.803015374915251
"(0.7, 0.6, 0.4, 0.2, 0.2)",2.821221412136189
"(0.7, 0.6, 0.4, 0.2, 0.3)",2.6259706262793805
"(0.7, 0.6, 0.4, 0.3, 0.2)",2.527541070572348
"(0.7, 0.6, 0.5, 0.2, 0.2)",2.6156473140796956
"(0.7, 0.7, 0.2, 0.2, 0.2)",2.705855438905281
"(0.7, 0.7, 0.2, 0.2, 0.3)",2.5464239640706663
"(0.7, 0.7, 0.2, 0.2, 0.4)",2.7867887007678283
"(0.7, 0.7, 0.2, 0.2, 0.5)",2.775836101476481
"(0.7, 0.7, 0.2, 0.3, 0.2)",2.761308914389981
"(0.7, 0.7, 0.2, 0.3, 0.3)",2.820384542019924
"(0.7, 0.7, 0.2, 0.3, 0.4)",2.842190689770271
"(0.7, 0.7, 0.2, 0.4, 0.2)",2.7463372324871203
"(0.7, 0.7, 0.2, 0.4, 0.3)",2.752120133243515
"(0.7, 0.7, 0.2, 0.5, 0.2)",2.662353783294179
"(0.7, 0.7, 0.3, 0.2, 0.2)",2.706928544198459
"(0.7, 0.7, 0.3, 0.2, 0.3)",2.7501740742810195
"(0.7, 0.7, 0.3, 0.2, 0.4)",2.7685021047577894
"(0.7, 0.7, 0.3, 0.3, 0.2)",2.8153531298450774
"(0.7, 0.7, 0.3, 0.3, 0.3)",2.6172292543336666
"(0.7, 0.7, 0.3, 0.4, 0.2)",2.7938704898284628
"(0.7, 0.7, 0.4, 0.2, 0.2)",2.742422095032602
"(0.7, 0.7, 0.4, 0.2, 0.3)",2.8083888137415394
"(0.7, 0.7, 0.4, 0.3, 0.2)",2.7891170250526787
"(0.7, 0.7, 0.5, 0.2, 0.2)",2.7233892285245656
"(0.7, 0.8, 0.2, 0.2, 0.2)",2.772001682701757
"(0.7, 0.8, 0.2, 0.2, 0.3)",2.7488179336332856
"(0.7, 0.8, 0.2, 0.2, 0.4)",2.7029618952805854
"(0.7, 0.8, 0.2, 0.2, 0.5)",2.661674067335351
"(0.7, 0.8, 0.2, 0.3, 0.2)",2.5171395761277586
"(0.7, 0.8, 0.2, 0.3, 0.3)",2.7335068493891184
"(0.7, 0.8, 0.2, 0.3, 0.4)",2.67688563605702
"(0.7, 0.8, 0.2, 0.4, 0.2)",2.7720407126067017
"(0.7, 0.8, 0.2, 0.4, 0.3)",2.7354716549575326
"(0.7, 0.8, 0.2, 0.5, 0.2)",2.780827878907363
"(0.7, 0.8, 0.3, 0.2, 0.2)",2.8282443307903007
"(0.7, 0.8, 0.3, 0.2, 0.3)",2.5582047991724384
"(0.7, 0.8, 0.3, 0.2, 0.4)",2.8652925172238466
"(0.7, 0.8, 0.3, 0.3, 0.2)",2.628882706029172
"(0.7, 0.8, 0.3, 0.3, 0.3)",2.85512066774733
"(0.7, 0.8, 0.3, 0.4, 0.2)",2.7269319707178847
"(0.7, 0.8, 0.4, 0.2, 0.2)",2.5481781629612796
"(0.7, 0.8, 0.4, 0.2, 0.3)",2.6882019537399255
"(0.7, 0.8, 0.4, 0.3, 0.2)",2.7200484816486377
"(0.7, 0.8, 0.5, 0.2, 0.2)",2.6507948604982166
"(0.8, 0.6, 0.2, 0.2, 0.2)",2.5113431584464236
"(0.8, 0.6, 0.2, 0.2, 0.3)",2.6988068629030577
"(0.8, 0.6, 0.2, 0.2, 0.4)",2.7640118212568465
"(0.8, 0.6, 0.2, 0.2, 0.5)",2.4745586582742263
"(0.8, 0.6, 0.2, 0.3, 0.2)",2.656158887537023
"(0.8, 0.6, 0.2, 0.3, 0.3)",2.676413520896615
"(0.8, 0.6, 0.2, 0.3, 0.4)",2.694862941812229
"(0.8, 0.6, 0.2, 0.4, 0.2)",2.717568524605998
"(0.8, 0.6, 0.2, 0.4, 0.3)",2.654819451558545
"(0.8, 0.6, 0.2, 0.5, 0.2)",2.568196395857884
"(0.8, 0.6, 0.3, 0.2, 0.2)",2.8159670236012606
"(0.8, 0.6, 0.3, 0.2, 0.3)",2.723027523818926
"(0.8, 0.6, 0.3, 0.2, 0.4)",2.7428827975840777
"(0.8, 0.6, 0.3, 0.3, 0.2)",2.7370205645129038
"(0.8, 0.6, 0.3, 0.3, 0.3)",2.488725272714057
"(0.8, 0.6, 0.3, 0.4, 0.2)",2.6326395660642157
"(0.8, 0.6, 0.4, 0.2, 0.2)",2.761719324476932
"(0.8, 0.6, 0.4, 0.2, 0.3)",2.7533130837130853
"(0.8, 0.6, 0.4, 0.3, 0.2)",2.8201229898238243
"(0.8, 0.6, 0.5, 0.2, 0.2)",2.691598488026605
"(0.8, 0.7, 0.2, 0.2, 0.2)",2.5121603859292216
"(0.8, 0.7, 0.2, 0.2, 0.3)",2.7840089800480428
"(0.8, 0.7, 0.2, 0.2, 0.4)",2.57976005788023
"(0.8, 0.7, 0.2, 0.2, 0.5)",2.702928984085195
"(0.8, 0.7, 0.2, 0.3, 0.2)",2.5676946214220733
"(0.8, 0.7, 0.2, 0.3, 0.3)",2.6534325163202857
"(0.8, 0.7, 0.2, 0.3, 0.4)",2.810243090880828
"(0.8, 0.7, 0.2, 0.4, 0.2)",2.845036274652799
"(0.8, 0.7, 0.2, 0.4, 0.3)",2.841969591975633
"(0.8, 0.7, 0.2, 0.5, 0.2)",2.729874440626367
"(0.8, 0.7, 0.3, 0.2, 0.2)",2.492822010166344
"(0.8, 0.7, 0.3, 0.2, 0.3)",2.7164391919973374
"(0.8, 0.7, 0.3, 0.2, 0.4)",2.703161188325724
"(0.8, 0.7, 0.3, 0.3, 0.2)",2.6373347833365983
"(0.8, 0.7, 0.3, 0.3, 0.3)",2.713345640906499
"(0.8, 0.7, 0.3, 0.4, 0.2)",2.7146023456339274
"(0.8, 0.7, 0.4, 0.2, 0.2)",2.6110814472475004
"(0.8, 0.7, 0.4, 0.2, 0.3)",2.538873004366477
"(0.8, 0.7, 0.4, 0.3, 0.2)",2.7022988087647293
"(0.8, 0.7, 0.5, 0.2, 0.2)",2.7417992342484725
"(0.8, 0.8, 0.2, 0.2, 0.2)",2.848207944682236
"(0.8, 0.8, 0.2, 0.2, 0.3)",2.5556920206449467
"(0.8, 0.8, 0.2, 0.2, 0.4)",2.823497797184354
"(0.8, 0.8, 0.2, 0.2, 0.5)",2.557010807812917
"(0.8, 0.8, 0.2, 0.3, 0.2)",2.8109339417078245
"(0.8, 0.8, 0.2, 0.3, 0.3)",2.6905566676009087
"(0.8, 0.8, 0.2, 0.3, 0.4)",2.6003056688928363
"(0.8, 0.8, 0.2, 0.4, 0.2)",2.6931118994249035
"(0.8, 0.8, 0.2, 0.4, 0.3)",2.675315158105099
"(0.8, 0.8, 0.2, 0.5, 0.2)",2.64250704885417
"(0.8, 0.8, 0.3, 0.2, 0.2)",2.6113371550507325
"(0.8, 0.8, 0.3, 0.2, 0.3)",2.586610294057696
"(0.8, 0.8, 0.3, 0.2, 0.4)",2.603622903089231
"(0.8, 0.8, 0.3, 0.3, 0.2)",2.591499328948943
"(0.8, 0.8, 0.3, 0.3, 0.3)",2.914437890647231
"(0.8, 0.8, 0.3, 0.4, 0.2)",2.8016968068103694
"(0.8, 0.8, 0.4, 0.2, 0.2)",2.8435834059860103
"(0.8, 0.8, 0.4, 0.2, 0.3)",2.5879387834693723
"(0.8, 0.8, 0.4, 0.3, 0.2)",2.7279260092735034
"(0.8, 0.8, 0.5, 0.2, 0.2)",2.7634820507045412
"(0.9, 0.6, 0.2, 0.2, 0.2)",2.5360660407825213
"(0.9, 0.6, 0.2, 0.2, 0.3)",2.56867168515587
"(0.9, 0.6, 0.2, 0.2, 0.4)",2.811223589472285
"(0.9, 0.6, 0.2, 0.2, 0.5)",2.8174935619741177
"(0.9, 0.6, 0.2, 0.3, 0.2)",2.5338901557901106
"(0.9, 0.6, 0.2, 0.3, 0.3)",2.775620197520883
"(0.9, 0.6, 0.2, 0.3, 0.4)",2.758786469818556
"(0.9, 0.6, 0.2, 0.4, 0.2)",2.6471798401884787
"(0.9, 0.6, 0.2, 0.4, 0.3)",2.9247347498853413
"(0.9, 0.6, 0.2, 0.5, 0.2)",2.7957860787340314
"(0.9, 0.6, 0.3, 0.2, 0.2)",2.702398900666855
"(0.9, 0.6, 0.3, 0.2, 0.3)",2.5318916674562706
"(0.9, 0.6, 0.3, 0.2, 0.4)",2.880691185423398
"(0.9, 0.6, 0.3, 0.3, 0.2)",2.843935644180626
"(0.9, 0.6, 0.3, 0.3, 0.3)",2.8549696472613
"(0.9, 0.6, 0.3, 0.4, 0.2)",2.7450156439784266
"(0.9, 0.6, 0.4, 0.2, 0.2)",2.5187410875571117
"(0.9, 0.6, 0.4, 0.2, 0.3)",2.852175963547623
"(0.9, 0.6, 0.4, 0.3, 0.2)",2.5557164000203794
"(0.9, 0.6, 0.5, 0.2, 0.2)",2.5252422820833766
"(0.9, 0.7, 0.2, 0.2, 0.2)",2.7709837042881955
"(0.9, 0.7, 0.2, 0.2, 0.3)",2.7229348022354953
"(0.9, 0.7, 0.2, 0.2, 0.4)",2.4487099960318606
"(0.9, 0.7, 0.2, 0.2, 0.5)",2.7357467804659814
"(0.9, 0.7, 0.2, 0.3, 0.2)",2.8381365088661665
"(0.9, 0.7, 0.2, 0.3, 0.3)",2.49135209746897
"(0.9, 0.7, 0.2, 0.3, 0.4)",2.450314047506709
"(0.9, 0.7, 0.2, 0.4, 0.2)",2.765038653897829
"(0.9, 0.7, 0.2, 0.4, 0.3)",2.86091663954852
"(0.9, 0.7, 0.2, 0.5, 0.2)",2.7283035253362558
"(0.9, 0.7, 0.3, 0.2, 0.2)",2.8338634266663987
"(0.9, 0.7, 0.3, 0.2, 0.3)",2.659385703385374
"(0.9, 0.7, 0.3, 0.2, 0.4)",2.645706270531073
"(0.9, 0.7, 0.3, 0.3, 0.2)",2.666197705699302
"(0.9, 0.7, 0.3, 0.3, 0.3)",2.776864529730006
"(0.9, 0.7, 0.3, 0.4, 0.2)",2.688750648442052
"(0.9, 0.7, 0.4, 0.2, 0.2)",2.8445150144546116
"(0.9, 0.7, 0.4, 0.2, 0.3)",2.800382477512945
"(0.9, 0.7, 0.4, 0.3, 0.2)",2.4409295991551576
"(0.9, 0.7, 0.5, 0.2, 0.2)",2.6379648912764675
"(0.9, 0.8, 0.2, 0.2, 0.2)",2.6463286755636477
"(0.9, 0.8, 0.2, 0.2, 0.3)",2.8027086433737827
"(0.9, 0.8, 0.2, 0.2, 0.4)",2.82896288343381
"(0.9, 0.8, 0.2, 0.2, 0.5)",2.586673475031086
"(0.9, 0.8, 0.2, 0.3, 0.2)",2.738792405271539
"(0.9, 0.8, 0.2, 0.3, 0.3)",2.6213629417790982
"(0.9, 0.8, 0.2, 0.3, 0.4)",2.8812859921064864
"(0.9, 0.8, 0.2, 0.4, 0.2)",2.7248720297427
"(0.9, 0.8, 0.2, 0.4, 0.3)",2.90782951683123
"(0.9, 0.8, 0.2, 0.5, 0.2)",2.4904008842534835
"(0.9, 0.8, 0.3, 0.2, 0.2)",2.6180856329602564
"(0.9, 0.8, 0.3, 0.2, 0.3)",2.6875937347945675
"(0.9, 0.8, 0.3, 0.2, 0.4)",2.694933272858603
"(0.9, 0.8, 0.3, 0.3, 0.2)",2.569643659880502
"(0.9, 0.8, 0.3, 0.3, 0.3)",2.448701377988776
"(0.9, 0.8, 0.3, 0.4, 0.2)",2.746129454435209
"(0.9, 0.8, 0.4, 0.2, 0.2)",2.5344779903927606
"(0.9, 0.8, 0.4, 0.2, 0.3)",2.684271020806998
"(0.9, 0.8, 0.4, 0.3, 0.2)",2.907545661405408
"(0.9, 0.8, 0.5, 0.2, 0.2)",2.7251846166103966
